14QII26	SNORD114-26,SNORD114-26
OADIP	MATN3,MATN3
FRMPD3AS1	FRMPD3-AS1
FAM55A	NXPE1,NXPE1
THAP3	THAP3
SSTKIP	TSACC,TSACC
TEX26AS1	TEX26-AS1
UBCHBENUBC13	UBE2N,UBE2N
KB226F12	KB-226F1.2
HT036	HYI,HYI
COL17A1	COL17A1
NEI3	NEIL3,NEIL3
EDS4A	COL3A1,COL3A1
LIME1	LIME1
THAP7	THAP7
FGF16	FGF16
MIR2113	MIR2113
C6ORF18	CCHCR1,CCHCR1
C6ORF19	LY6G5B,LY6G5B
MIR297	MIR297
MIR296	MIR296
MIR2115	MIR2115
THAP9	THAP9
C6ORF12	NCRNA00171,ZNRD1-AS1,ZNRD1-AS1
C6ORF13	TRIM31,TRIM31
C6ORF10	C6orf10
C6ORF11	WDR46,WDR46
C6ORF16	PSORS1C1,PSORS1C1
C6ORF17	PSORS1C2,PSORS1C2
C6ORF14	MRPS18B,MRPS18B
C6ORF15	C6orf15
PGR24	GPR144
AADC	DDC,DDC
P382	MAPK11,MAPK11
ITPR2	ITPR2
NAAR1	ACRC,ACRC
SH3P17	ITSN1,ITSN1
TMIE	TMIE
UBOX2	UBE4A,UBE4A
SH3P13	SH3GL3,SH3GL3
SH3P12	SORBS1,SORBS1
FBL10	KDM2B,KDM2B
SH3P19	SH3D19,EBP,SH3D19
MLC2C	MYL9,MYL9
FAM219A	FAM219A
ZFYVE30	RUFY3,RUFY3
ZFYVE31	RUFY4,RUFY4
CYPIIIA4	CYP3A4,CYP3A4
CYPIIIA5	CYP3A5,CYP3A5
CYPIIIA7	CYP3A7,CYP3A7
ST8SIAIV	ST8SIA4,ST8SIA4
CYPIIIA3	CYP3A4,CYP3A4
NGP1	GNL2
ST8SIAII	ST8SIA2,ST8SIA2
OR5A1P	OR5A1,OR5A1
ERBB	EGFR,EGFR
ERBA	THRA,THRA
DSCRB	DSCR4,DSCR4
FIAT	TXLNG,TXLNG
UGTREL8	SLC35D2,SLC35D2
DHH	DHH
UGTREL4	SLC35B2,SLC35B2
MIR5681A	MIR5681A
UGTREL7	SLC35D1,SLC35D1
UGTREL1	SLC35B1,SLC35B1
UNQ3119	DRAXIN,DRAXIN
NGPS	BANF1,BANF1
CDK20	CDK20
D3S1319E	PFN2,PFN2
DHS	PIEZO1,DHPS
RN5S513	RNA5SP513,RNA5SP513
DHP	DPYS,DPYD
BRAG1	IQSEC2,IQSEC2
GPCIII	NAALAD2,NAALAD2
BRAG2	IQSEC1,IQSEC1
RNU3IP2	RRP9,RRP9
RN7SL328P	RN7SL328P
RNU3IP1	FBL,FBL
NRIP1	NRIP1
CDT1	CDT1
NRIP3	NRIP3
OPLA	OPLAH,OPLAH
RN5S517	RNA5SP517,RNA5SP517
VTI1B	VTI1B
HVSP41	VPS41,VPS41
OPLL	COL6A1,COL6A1
EGFRAS1	EGFR-AS1
RN7SKP261	RN7SKP261
PA226	PDPN,PDPN
TRIM11	TRIM11
WD	SLC4A1,ATP7B
TVAS3	RSL24D1,RPL24,RSL24D1
CDKN2AIP	CDKN2AIP
CHSY2	CHPF,CHSY3
CHSY3	CHSY3
WI	DFNB31,DFNB31
CHSY1	CHSY1
WW	ABCC11,ABCC11
TTY6	TTTY6,TTTY6B
TTY5	TTTY5,TTTY5
HSRPB10A	POLR2K,POLR2K
WS	ELN,AWAT2
WR	SLC4A1,VPS54
TTY1	TTTY1,TTTY1
HCNTF	CNTF,CNTF
PGR25	GPR133
DELTEX3	DTX3,DTX3
SPAHGC	GLRX5,GLRX5
TTY9	TTTY9B,TTTY9B
TTY8	TTTY8,TTTY8
TRM1	TRMT1,TRMT1
TRM3	TARBP1,TARBP1
CHYMASE	CMA1,CMA1
MADR1	SMAD1,SMAD1
TRM4	NSUN2,NSUN2
KARP1	XRCC5
MADR2	SMAD2,SMAD2
TRM9	ALKBH8,ALKBH8
TRM8	METTL1,METTL1
RIT	RIT1,RIT1
PTPPEST	PTPN12,PTPN12
RIR	APBB1,APBB1
RIS	RASL12,RASL12
RIP	RIPK1,RPAIN,AGFG1
RIN	RIT2,RIT2
TM4SF	TSPAN1,NET1,TSPAN1
RIL	PDLIM4,PDLIM4
RIM	RBBP8,RIMS1
HSAN8	PRDM12,PRDM12
HSAN7	SCN11A,SCN11A
RIG	DIRAS1,DKK3,RPS15
HSAN5	NGF,NGF
GADD45BETA	GADD45B,GADD45B
HSAN1	SPTLC1,SPTLC1
ZNF616	ZNF616
HMSNIB	MPZ,CHM,MPZ
HMSNIA	PMP22,SP110,PMP22
KIAA1009	KIAA1009
KIAA1008	DIS3,DIS3
RNU6717P	RNU6-717P
HMSNII	KIF1B,KIF1B
C15ORF58	GDPGP1,GDPGP1
ZNF32OS1	ZNF32-AS1,ZNF32-AS1
SEMA3C	SEMA3C
SH3GLB2	SH3GLB2
ZNF32OS2	ZNF32-AS2,ZNF32-AS2
TRMA	SLC19A2,SLC19A2
DIR1	FKBPL,FKBP4,FKBPL
TLE6	TLE6
CHERP	CHERP
LGALS9B	LGALS9B
RNU6388P	RNU6-388P
CCRL2	CCRL2
UNC50	UNC50
TRMO	C9orf156
TCL6	TCL6
TCL5	TAL1,TAL1,TAL1
U69A	SNORA69,RNU6-9,SNORA69
TCL3	TLX1,TLX1
TCL1	TCL1A,TCL1A
MIR490	MIR490
RNU61074P	RNU6-1074P
C15ORF53	C15orf53
CRDGF	AREG,AR,AREGB,AREG
HCNT2	SLC28A2,SLC28A2
MIR493	MIR493
HCNT1	SLC28A1,SLC28A1
RASL7A	RHOQ,RHOQ
VU18	RNVU1-8,RNVU1-8
RASL7B	RHOJ,RHOJ
EPHT1	EPHA1,EPHA1
EPHT2	EPHB1,EPHB1
EPHT3	EPHB2,EPHB2
MIRN566	MIR566,MIR566
RACK17	OLIG2,OLIG2
RCBTB2	RCBTB2
HELT	HELT
HELQ	HELQ
RCBTB1	RCBTB1
RBAT	SLC3A1,SLC3A1
CLSPA	C1RL,C1RL
HELZ	HELZ
TSA1	LY6E,LY6E
HELG	ST7,ST7
TEX19	TEX19
MYADM	MYADM
RBAK	RBAK
MAP1D	METAP1D
HHDC	HECA,HDC,HECA
EEF1A2BP1	IGFN1,IGFN1
ABCASSN	ABCA7,ABCA7
METCDS	PTPN11,PTPN11
GM83	DCAF13,DCAF13
TEKT1	TEKT1
SWD2	WDR82
TEKT3	TEKT3
TEKT2	TEKT2
TEKT5	TEKT5
FDXACB1	FDXACB1
PGR26	GPR97
LBX2	LBX2
RNU6117P	RNU6-117P
CLONE24945	ARRDC2,ARRDC2
CLU2	CLU,TRPM2,TRPM2,CLU
EDM4	SLC26A1,SLC26A2,SAT1
NUDT9	NUDT9
CLU1	CLU,CLUH,TRPM2
EDM5	MATN3,MATN3
CLUH	CLUH
FOP	ACVR1,CHTOP,FGFR1OP
HHDJ1	DNAJB6,DNAJB6
FOR	WWOX,WWOX
FOS	FOS
HSAMIR642	MIR642A,MIR642A,MIR642A
DJ281H81	ZC3H12D,ZC3H12D
DJ281H84	SUMO4,SUMO4,SUMO4
FOE	WAPAL
FOG	ZFPM1,ZNF408,ZFPM1
KIAA0759	ANGEL1,ANGEL1
FON	ZNHIT2,ZNHIT2
RINGOA	SPDYA,SPDYA
KIAA0753	KIAA0753
HEL4	YWHAZ,YWHAZ
TSAD	SH2D2A,SCAP,SH2D2A
HEL2	YWHAE,YWHAE
CFAP247	CDKL5,CDKL5
CFAP246	LRGUK,LRGUK
HEL9	ALDH1A1,ALDH1A1
SAFB2	SAFB2
HIAA0929	SPEN,SPEN
PPC2BETAX	PPM1B,PPM1B
TESSP6	PRSS46,PRSS46
DJ283E31	NADK,NADK
GLP2R	GLP2R
HSAMIR640	MIR640,MIR640
SGK223	SGK223
SEC14L3	SEC14L3
SEC14L2	SEC14L2
SEC14L1	SEC14L1
RNU421P	RNU4-21P
SEC14L6	SEC14L6
SEC14L5	SEC14L5
SEC14L4	SEC14L4
IL1H	IL37,IL37,IL37
RN5S308	RNA5SP308,RNA5SP308
UPF1	UPF1
UPF3	UPF3A,UPF3A
UPF2	UPF2
NKEFA	PRDX1
IL1A	IL1A
BK984G14	EWSR1,EWSR1
NKEFB	PRDX2
TSEPA	THEMIS,THEMIS
IL1E	IL36G,IL36G
IL1G	IL18,IL18,IL18
HSAMIR647	MIR647,MIR647
3HEXO	ERI1,ERI1
COM1	RBBP8,NUPR1
KLHL1AS	ATXN8OS,ATXN8OS
KRT6D	KRT6A,KRT6C,KRT6A
IGKV117	IGKV1-17
KRT6B	KRT6B
KRT6C	KRT6C
IGKV112	IGKV1-12
KRT6A	KRT6A
S5DES	SC5D,SC5D
KRT6L	KRT79,KRT79
LICOS	ICOSLG,ICOSLG
ZNF253	ZNF253
PTPNS1L2	SIRPD,SIRPD
MIR4519	MIR4519
PTPNS1L3	SIRPB2,SIRPB2
COMP	COMP
DAP13	NDUFA12,NDUFA12
DAP12	TYROBP,TYROBP
COMT	COMT
HSD45	INCA1,INCA1
HFAT2	FAT2,FAT2
ABDB	HOXA9,HOXA9
H174	CXCL11,CXCL11
ABETA	APP,SUCLA2
HFAT3	FAT3,FAT3
SLC47A1	SLC47A1
DSCR8	DSCR8
IL18	IL18
IL19	IL19
HFAT1	FAT1,FAT1
FBL22	FBXL22,FBXL22
KCT4	IGSF8,IGSF8
FBL20	FBXL20,FBXL20
IL10	IL10
IL11	IL11
IL13	IL13
OCTS2	SLC9A3R2,SLC9A3R2
IL15	IL15
IL16	IL16
IL17	IL17A
MESH1	HDDC3,HDDC3
YDJC	YDJC
ILF3L	STRBP,STRBP
SNEDS	CECR1,CECR1
RNU6327P	RNU6-327P
HSAMIR644	MIR644A,MIR644A
EFHD2	EFHD2
EFHD1	EFHD1
DYRK1AP3	PHYHIP,PHYHIP
PATL2	PATL2
NERPP2C	PPM1H,PPM1H
ZAPHIR	ZNF419,ZNF419
PTCD2	PTCD2
MIR5696	MIR5696
DR11	WDR11,WDR11
PTCD3	PTCD3
LINC00966	LINC00966
PINX1	PINX1
AEBP1	AEBP1
GTF2D1	TBP,TBP
AEBP2	AEBP2
LTA4H	LTA4H
PTCD1	PTCD1
XIPAN	FRMD7,FRMD7
HSAMIR1233	MIR1233-1,MIR1233-1
OKURIBIN	CCDC80,CCDC80
RNU6857P	RNU6-857P
FLJ38295	LINC00478
SPRL4A	LCE4A,LCE4A
DERA	DERA
VU13	RNVU1-3,RNVU1-12,RNVU1-3
KRTAP32	KRTAP3-2
ABHD12B	ABHD12B
ABHD12A	ABHD12,ABHD12
OR913	OR13C9,OR13C9
OR910	OR13C8,OR13C8
S6PKH1	RPS6KC1,RPS6KC1
HSAMIR1234	MIR1234,MIR1234
OR915	OR13D1,OR13D1
CHL	CHRDL1,KLHDC8B
CTS18	CYTH2,CYTH2
OR919	OR1J2,OR1J2
RNU250P	RNU2-50P
IBMPFD3	HNRNPA1,HNRNPA1,HNRNPA1,HNRNPA1
CHN	NR4A3,CHN1,TEC
ZDHHC20	ZDHHC20
ZDHHC21	ZDHHC21
ZDHHC22	ZDHHC22
ZDHHC23	ZDHHC23
TOB55	BTG3,SAMM50
ATPVD	ATP10D,ATP10D
RCP9	CRCP,CRCP
C11ORF16	C11orf16
GNAH	TGM2,TGM2
CT456	CT45A6
BPY2A	BPY2,BPY2
BPY2B	BPY2B
PDES1B	PDE1B,PDE1B
CRYB2A	CRYBB2,CRYBB2
ATPVB	ATP10B,ATP10B
RHII	RHD,RHD
BA355M141	POPDC3,POPDC3
ZTNFR9	TNFRSF10B,TNFRSF10B
POLRF	POLR2F,POLR2F
APG4D	ATG4D
Z1971	ZNF471,ZNF471
ISL1	ISL1
ISL2	ISL2
HSA404617	KCNQ1DN,KCNQ1DN
GXIIB	PLA2G12B,PLA2G12B
MNX1AS2	MNX1-AS2
AKRDC1	AKR1E2,AKR1E2
THMD1	SLC19A2,SLC19A2
THMD2	SLC19A3,SLC19A3
ATPVC	ATP10A,ATP10A
THMD4	SLC25A19,SLC25A19
THMD5	TPK1,TPK1
KIFAP3	KIFAP3
CNDP2	CNDP2
MS4A6	MS4A6A,MS4A6A
MS4A7	MS4A7
MS4A4	MS4A7,MS4A4A,MS4A8
MS4A5	MS4A5
MS4A2	MS4A2
MS4A3	MS4A3
ACDASE	ASAH1,ASAH1
ZNF141	ZNF141
ZNF140	ZNF140
ZNF143	ZNF143
ZNF142	ZNF142
ZNF145	ZBTB16,ZBTB16
ZNF144	PCGF2,PCGF2
ZNF147	TRIM25,TRIM25
ZNF146	ZNF146
DDX34	DHX34,HRH1,DHX34
ZNF148	ZNF148
DSC4	DSC3,DSC1,DSC2,DSC3
DDX37	DHX37,DHX37
DSC2	DSC2
DSC3	DSC3
DDX32	DHX32,DHX32
DSC1	DSC1
SODF	ODF2,ODF1,TNFSF11
FSH	BRD2,BRD2
SODD	BAG4,BAG4,BAG4
FEB3B	SCN9A,SCN9A
FEB3A	SCN1A,SCN1A
FAM167AAS1	C8orf12
DJ341E182	FBXO9,FBXO9
C11ORF18	TMEM9B-AS1,TMEM9B-AS1
NCC27	CLIC1,CLIC1
MAGOH	MAGOH
MRVLDC2	MARVELD2,MARVELD2
DNT2	NT5M
OR1158	OR52E6,OR52E6
SAPCD1AS1	SAPCD1-AS1
DNT1	NT5C
DDX3X	DDX3X
SOD3	SOD3
VWA8	VWA8
SOD1	SOD1
VWA7	VWA7
VWA4	COL6A5,COL6A5
VWA2	VWA2
RANGAP1	RANGAP1
ATPVA	ATP10A,ATP10A
KCNN4	KCNN4
KCNN3	KCNN3
GOB5	CLCA1,CLCA1
KCNN1	KCNN1
MIRN646	MIR646,MIR646
MIRN645	MIR645,MIR645
HST1707	PSMG2,PSMG2
ZFP312	FEZF2,FEZF2
DESC1	TMPRSS11E,TMPRSS11E
DGKETA	DGKH,DGKH
ISLR	ISLR
PKIG	PKIG
PKIA	PKIA
PKIB	PKIB
ZFP319	ZNF319,ZNF319
LFABP	FABP1,FABP1
SBBI48	IER5,IER5
MIRN641	MIR641,MIR641,MIR641
MIST1	BHLHA15,BHLHA15
SBBI42	SLAMF8,SLAMF8
LOC105369230	HLA-DRB1
NCRNA00153	PLK1S1
RNU6965P	RNU6-965P
NCBP	NCBP1,NCBP1
NIT2	NIT2
NIT1	NIT1
MSTP112	HEG1,HEG1
MIR4779	MIR4779
CRYGN	CRYGN
HCFC1R1	HCFC1R1
MIR4797	MIR4797
TYSND1	TYSND1
MARK4S	MARK4,MARK4
INO80	INO80
KVEBN1	KCNQ2,KCNQ2
CR16	WIPF3,WIPF3
ZNRD1AS1	ZNRD1-AS1
MARK4L	MARK4,MARK4
RN7SL383P	RN7SL383P
U71D	SNORA71D,SNORA71D
OR1157	OR52N2,OR52N2
CLEC18C	CLEC18C
C86FUS	MTAP,MTAP
ORC4L	ORC4,ORC4
C17ORF99	C17orf99
HCAF1Z	TOE1,TOE1
KANSL1L	KANSL1L
C17ORF95	METTL23,METTL23
C6ORF120	C6orf120
C17ORF97	C17orf97
C17ORF96	C17orf96
C17ORF91	MIR22HG,MIR22HG
C17ORF90	OXLD1,OXLD1
C17ORF93	PRAC2,PRAC2
LIP5	VTA1,DRG1,DRG1,SBP1,VTA1
NUDCL	NUDCD3,NUDCD3
EFIA	YBX1,YBX1
MUNC134	UNC13D,FHL3,UNC13D
CEGP1	SCUBE2,SCUBE2
ORC4P	ORC4,ORC4
RAI17	ZMIZ1,ZMIZ1
SGPX	CXorf66,CXorf66
CYHR1	CYHR1
C1ORF212	SMIM12,SMIM12
BORCS2	BLOC1S2,BLOC1S2
NGEF	NGEF
TCEANC2	TCEANC2
DEME6	TTC39A,TTC39A
3DL2	KIR3DL2,KIR3DL2,KIR3DL2
CR1L	CR1L
RNU6582P	RNU6-582P
HSAMIR1469	MIR1469,MIR1469
NUP153	NUP153
C15ORF63	HYPK,HYPK
C15ORF60	C15orf60
C15ORF61	C15orf61
AMLCR1	RUNX1,RUNX1
OR2F1	OR2F1
NUP155	NUP155
OR2F3	OR2F1,OR2F1
MIR7515	hsa-mir-7515
TMX1	TMX1
KLHLX	KLHL20,KLHL20
RNU61280P	RNU6-1280P
HELS63P	GALM,GALM
QOH1	CRYZL1,CRYZL1
GRPUCMA	UCMA,GRP,UCMA
BTBD17A	BTBD17,BTBD17
LIP6	DNAJC14,DNAJC14
SORCS2	SORCS2
SORCS3	SORCS3
CARS2	CARS2
CARS1	CARS,CARS
RN5S339	RNA5SP339,RNA5SP339
RN5S338	RNA5SP338,RNA5SP338
RINGO2	SPDYC,SPDYC
KSP37	TMEM72,FGFBP2
RN5S335	RNA5SP335,RNA5SP335
GDNFAS1	GDNF-AS1
RN5S337	RNA5SP337,RNA5SP337
GPKOW	GPKOW
MIR3200	MIR3200
MIR3201	MIR3201
BA531F241	RTKN2,RTKN2
RN5S332	RNA5SP332,RNA5SP332
PSGGB	PSG6,PSG6
RNU61304P	RNU6-1304P
PSGGA	SP1,PSG1
NANOG	NANOG
CALJA	NT5E,NT5E
RRH	RRH
RRF	MRRF,MRRF
SDR42E1	SDR42E1
WYATT	TIRAP,MAL,TIRAP
MAPK2	MAPK1,MAPK1
MAPK3	MAPK3
MAPK1	MAPK1
MAPK6	MAPK6
MAPK7	MAPK7
MAPK4	MAPK4
BCO3	RPE65,RPE65
HSAMIR1229	MIR1229,MIR1229
EBFAZ	ZNF423,ZNF423
P1CDC46	MCM5,MCM5
P1CDC47	MCM7,MCM2,MCM7
CUZD1	CUZD1
RRP	RRBP1,RHBDL1
IFT144	WDR19,WDR19
LYL1	LYL1
GN6ST1	CHST2,CHST2
GN6ST3	CHST5,CHST5
PATL1	PATL1
HFKL5	FOXE1,TTF2,TTF2,FOXE1
CLEC12B	CLEC12B
FAM28A	RWDD4,RWDD4
SE891	FAM208A,FAM208A
BCOR	BCOR
NMNAT3	NMNAT3
MLC3F	MYL1,MYL1
RR2	RRM2,RRM2
RR1	RRM1,RRM1
VWA3A	VWA3A
CCL11	CCL11
ZMYM6NB	ZMYM6NB
CCL13	CCL13
CCL14	CCL14
CCL15	CCL15
CCL16	CCL16
CCL17	CCL17
CCL18	CCL18
CCL19	CCL19
DJ126A51	DNAJC11,DNAJC11
YPEL2	YPEL2
CLEC12A	CLEC12A
PRDIIBF1	HIVEP1,HIVEP1
RPS26P32	RPS26
STAT5B	STAT5B
STAT5A	STAT5A
TTC30A	TTC30A
SMIT1	SLC5A3,SLC5A3
SMIT2	SLC5A3,SLC5A11
NBLA00058	ASNSD1,ASNSD1
OR56B4	OR56B4
RN7SL385P	RN7SL385P
CHIL2	CHI3L2,CHI3L2
HOXBAS5	PRAC2,PRAC2
TMEM41A	TMEM41A
MTH3	NUDT18,NUDT18
MTH2	NUDT15,NUDT15
MTH1	NUDT1,NUDT1
CINEMA	IRGC,IRGC
C1QTNF6	C1QTNF6
CPEBP4	CPEB4,CPEB4
CPEBP2	CPEB2,CPEB2,CPEB2
CPEBP1	CPEB1,CPEB1,CPEB1
RNU6406P	RNU6-406P
C1QTNF4	C1QTNF4
TNOX	ENOX2,ENOX2
DAPPER	DACT1,DACT1
PLEKHN1	PLEKHN1
OMP85	SAMM50,SAMM50
SERPINA1	SERPINA1
SERPINA2	ATR
SERPINA3	SERPINA3
SERPINA4	SERPINA4
SERPINA5	SERPINA5
SERPINA6	SERPINA6
SERPINA7	SERPINA7
SERPINA8	AGT,AGT
SERPINA9	SERPINA9
ZC3HC1	ZC3HC1
CACNA1CAS2	CACNA1C-AS2
CACNA1CAS3	CACNA1C-AS3
HDLCQ8	VNN1,VNN1
HDLCQ9	PLTP,PLTP
14QII27	SNORD114-27,SNORD114-27
ACSS3	ACSS3
FOXRED1	FOXRED1
KCNT2	KCNT2
14QII23	SNORD114-23,SNORD114-23
14QII22	SNORD114-22,SNORD114-22
14QII21	SNORD114-21,SNORD114-21
14QII20	SNORD114-20,SNORD114-20
MSE55	CDC42EP1,CDC42EP1
CAMDI	CCDC141,CCDC141
14QII29	SNORD114-29,SNORD114-29
GDCF2	CCL2,CCL2
SNORA33	SNORA33
PRO1071	CPNE3,CPNE3
SET07	SETD8
FPF	TNFRSF1A,TNFRSF1A
SNORA37	SNORA37
SNORA35	SNORA35
SNORA34	SNORA34
FPL	LMNA,LMNA
DERLIN3	DERL3,DERL3
SNORA38	SNORA38
NCCRP1	NCCRP1
MRXS34	NONO,NONO
FPP	MSX2,MSX2
FPS	FDPS,FES
MRXS32	CLIC2,CLIC2
LINC00428	LINC00428
MYOSIN	MYH14,MYH14
TMEM41B	TMEM41B
LP3727	LBX2,LBX2
IGSF5	IGSF5
MTHR	DNAJC10,DNAJC10
HOXA1AS1	HOTAIRM1,HOTAIRM1
GAGE11	GAGE12J,GAGE12J
GAGE10	GAGE10
GAGE13	GAGE13
PLEKHM3	PLEKHM3
DKFZP667F0711	DKFZP667F0711
HIT40	ZNF799,ZNF799
GPR139	GPR139
STARD13AS	STARD13-AS
RNU620P	RNU6-20P
MYNE1	SYNE1,SYNE1
G26	CCL4,CCL4
RCM4	MYPN,MYPN
SYNPO	SYNPO
OR5AP2	OR5AP2
RPGRIP	RPGRIP1,RPGRIP1
CTC1	CTC1
MACOCO	CEP112,CEP112
TOGP	CKAP5,CKAP5
LPB3	S1PR3,S1PR3
HOAZ	ZNF423,ZNF423
ANP32E	ANP32E
ANP32B	ANP32B
ANP32A	ANP32A
HPSE1	HPSE,HPSE
SYNPR	SYNPR
HA3II	KRT33B
SPATA40	MNS1,MNS1
SPATA41	SPATA41
SPATA42	SPATA42
SPATA43	SPO11,SPO11
TAT	TAT
TAU	MAPT,MAPT
GCCD2	FGD3,MRAP,FGD2
GCCD3	FGD2,FGD3
TAP	TAP1,NXF1,SEC14L2,USO1,SCT,FLNB
TAR	RBM8A,RBM8A
RNU61114P	RNU6-1114P
SLC43A3	SLC43A3
G21	HTR1A,SLC46A1
TAX	CNTN2,CNTN2
ALMS1	ALMS1
TAZ	TAZ
SLC43A2	SLC43A2
PC43	PCDHGC3,PCDHGC3
PC42	PCDH1,PCDH1
TAF	IGFBP7,TAF8
TAG	CT49
PRIM1	PRIM1
CSPG4P2	CSPG4P2Y,CSPG4P2Y
IFITM2	IFITM2
MUC1X	MUC1,MUC1,PEMT,MUC1
TAL	LRSAM1,TALDO1
TAM	STIM1,STIM1
ECP54	RUVBL1
TAJ	TNFRSF19,TNFRSF19
TAK	CDK9,CDK9
TA4	TAAR6,TAAR6
CDK11P58	CLK1,CDK11A,CDK11B
SNORD1152	SNORD115-2
SNORD1153	SNORD115-3
PRIMA	PRIMA1,PRIMA1
L55NT	MRPL55,MRPL55,MRPL55
5B10	S100A6,S100A6
RNU61305P	RNU6-1305P
ALOXE3	ALOXE3
SNORD1159	SNORD115-9
RNU6501P	RNU6-501P
RNU6204P	RNU6-204P
H1RLX	RLN1,RLN1
ACER2	ACER2
RNU258P	RNU2-58P
PRIMS	ZBTB20,ZBTB20
MUC18	MCAM,MCAM
MUC17	MUC17
MUC16	MUC16
MUC15	MUC15
MUC14	EMCN,EMCN
MUC13	MUC13
MUC12	MUC12
MUC11	MUC12
MAGEH1	MAGEH1
HRC1	RASSF7,RASSF7
HIF3ALPHA1	HIF3A,HIF3A,HIF3A
OR52K1	OR52K1
SYNE3	SYNE3
MBTD1	MBTD1
SYAP1	SYAP1
ACER3	ACER3
CTCL	TSPYL2,TSPYL2
NCRNAA1	LINC00568
GPR119	GPR119
MSJ1	DNAJB6,DNAJB6
RN7SL654P	RN7SL654P
OR2L2	OR2L2
GPR115	GPR115
GPR114	GPR114
MGN2	MAGOHB,MAGOH,MAGOHB
LRRN5	LRRN2,LRRN2
CTCF	CTCF
GPR110	GPR110
RASGRP2	RASGRP2
RASGRP3	RASGRP3
MIR548F5	MIR548F5
RASGRP1	RASGRP1
MIR548F3	MIR548F3
MIR548F2	MIR548F2
AMIGO	AMIGO1,AMIGO1,AMIGO1
P450C1	CYP27B1,VDR,CYP27B1
SLEB11	STAT4,STAT4
SLEB10	IRF5,IRF5
SLEB16	DNASE1L3,DNASE1L3
PLEXINA1	PLXNA1,NOV,PLXNA1
U734	RNU7-34P,RNU7-34P
FAM119B	METTL21B,METTL21B
DFNA8	TECTA,TECTA
FAM119A	METTL21A,METTL21A
BACAT	BAAT,BAAT
MLN137	KRT81,KRT81
MIPP	MINPP1,MINPP1
WNT4	WNT4
COX7B2	COX7B2
HC2	PSMA1,SERPIND1
HC3	PSMA2,PSMA2
ESC42	DEFB118,DEFB118
RIM1	RIMS1,RIMS1
RIM2	RIMS2,RIMS2
HC5	PSMB1,PSMB1
2610510D13RIK	HNRNPA3,HNRNPA3
HC8	PSMA3,PSMA3
HC9	PSMA4,PSMA4
HSCO	ETHE1,ETHE1
HSCL	SCLY,SCLY
HSCR	EDNRB,EDNRB
PPP1R91	HSPB6,HSPB6
RNU6483P	RNU6-483P
OR2L8	OR2L8
RNU6180P	RNU6-180P
MIR514B	MIR514B
IPLA2ETA	PNPLA4,PNPLA4
DJ919F191	PPIL6,PPIL6
ANGIE	CXCL13,CXCL13
SNORD77A	SNORD77,SNORD77
HCR	EIF2AK1,CCHCR1,CCRL2
HCS	HLCS,CYCS
HCP	CPOX,AMBP,PTPN6,CPO
MIR5141	MIR514A1,MIR514A1,MIR514A1
MIR5143	MIR514A3,MIR514A3
MIR5142	MIR514A2,MIR514A2
IGHV781	IGHV7-81
IFITM5	IFITM5
RNU6331P	RNU6-331P
HCC	FAM126A,FAM126A
HSAMIR542	MIR542,MIR542,MIR542
HSAMIR543	MIR543,MIR543,MIR543
HCF	HCFC1,HCFC1
HCG	CGA,CGB5,CGB
HCE	RNGTT,RNGTT
HCK	HCK
FIBCD1	FIBCD1
HCI	TIMP1,EPO,TIMP1,TIMP1
HCN	MALAT1,MALAT1
PHMX	TSPAN32,ART1,TSPAN32
SLY2	SAMSN1,SAMSN1
GALNACT	B4GALNT1
SLY1	SCFD1,SCFD1
RN7SL422P	RN7SL422P
ZNF426	ZNF426
ZNF427	ZKSCAN4,ZKSCAN4
FP1188	FAM57B,FAM57B
ZNF425	ZNF425
ZNF422	PHF8,ZNF22
GNT4A	MGAT4A,MGAT4A
ZNF420	ZNF420
DRAPC1	APCDD1,APCDD1
MIP2	WDR26,CXCL2
MIP3	CCL23
ZACRP4	C1QTNF4,C1QTNF4
MIP1	RPTOR,MIP,TNPO1,MAPKAP1
ZACRP2	C1QTNF2,C1QTNF2
MIP4	CCL18,CCL18
MIP5	CCL15,SCYL3,CCL15
SNORA46	SNORA46
PCDHB16	PCDHB16
SNORA47	SNORA47
SCMH1	SCMH1
SNORA44	SNORA44
RN7SL788P	RN7SL788P
C24GNT	GCNT3
MIRN588	MIR588,MIR588
MIR4739	MIR4739
ARFGEP1	ARFGEF1,ARFGEF1
HM43	LILRA3,LILRA3
MIRN589	MIR589,MIR589,MIR589
1110035O14RIK	NAMPT,NAMPT
CCDC180	CCDC180
CCDC183	KIAA1984
AP1AR	AP1AR
ZNF365D	ZNF365,ZNF365
CCDC186	C10orf118
NEDD8	NEDD8
NEDD9	NEDD9
MITAAT	GOT2,GOT2
EPS8L3	EPS8L3
FRNK	PTK2,PTK2
P2RY14	P2RY14
P2RY15	OXGR1,OXGR1
NEDD2	CASP2
NEDD3	DRG1,DRG1
NEDD4	NEDD4
P2RY11	P2RY11
NEDD6	RPL10A,RPL10A
NEDD7	DNAJA1,DNAJA1
GARNL4	RAP1GAP2,RAP1GAP2
GARNL3	GARNL3
GARNL1	RALGAPA1,RALGAPA1
SFR1	SFR1
OR5AK2	OR5AK2
TASSC	NIPSNAP3A,NIPSNAP3A
RNU6500P	RNU6-500P
CMH12	CSRP3,LMO4,CSRP3
CMH13	TNNC1,TNC,TNC,TNNC1
CMH10	MYL2,MYL2
CMH11	ACTC1,ACTC1
