GO:0000002	GO	BP	mitochondrial genome maintenance	AKT3,DNA2,LONP1,MEF2A,MGME1,MPV17,OPA1,PARP1,PRIMPOL,SLC25A33,SLC25A36,SLC25A4,TYMP
GO:0000012	GO	BP	single strand break repair	APLF,APTX,LIG4,SIRT1,TDP1,TNP1
GO:0000014	GO	MF	single-stranded DNA endodeoxyribonuclease activity	DCLRE1C,ERCC1,MRE11A,RAD50,RBBP8,SETMAR
GO:0000018	GO	BP	regulation of DNA recombination	ALYREF,BLM,CHEK1,CLCF1,FIGNL1,IL10,IL4,IL7R,KPNA1,KPNA2,MRE11A,MSH2,MSH3,MSH6,PARPBP,PAXIP1,POLQ,PPP4C,PPP4R2,PRDM9,RAD50,RAD51,RAD51AP1,RPA2,RTEL1,SIRT6,SPIDR,SUPT6H,TERF2IP,TGFB1,THOC1,TNFSF13,TNFSF4,ZRANB3
GO:0000022	GO	BP	mitotic spindle elongation	AURKB,AURKC,KIF23,KIF4A,KIF4B,MAP10,PRC1,RACGAP1
GO:0000030	GO	MF	mannosyltransferase activity	ALG1,ALG12,ALG2,ALG3,ALG8,DPM1,DPM2,DPM3,PIGB,PIGV,PIGZ,POMT1,SDF2
GO:0000038	GO	BP	very long-chain fatty acid metabolic process	ABCD1,ABCD2,ABCD3,ACAA1,ACOT1,ACOT2,ACOT4,ACOX1,ACSBG1,CYP4F12,CYP4F2,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL7,PEX2,SLC27A5,SLC27A6,TECR
GO:0000041	GO	BP	transition metal ion transport	ATOX1,ATP6AP1,ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C1,ATP6V1C2,ATP6V1D,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1G1,ATP6V1G2,ATP6V1G3,ATP6V1H,ATP7A,ATP7B,CCS,CLTC,CUTC,DNM2,HEPH,HFE,IREB2,LMTK2,MCOLN1,MFI2,MT3,PICALM,RAB11B,REP15,SCARA5,SLC11A1,SLC11A2,SLC30A1,SLC30A10,SLC30A3,SLC30A4,SLC30A5,SLC30A8,SLC31A1,SLC31A2,SLC39A1,SLC39A13,SLC39A14,SLC39A2,SLC39A6,SLC39A8,SLC40A1,STEAP3,TCIRG1,TF,TFR2,TFRC,TTYH1,ZP3
GO:0000045	GO	BP	autophagosome assembly	ATG101,ATG12,ATG13,ATG14,ATG16L1,ATG3,ATG4B,ATG4C,ATG5,ATG9A,ATG9B,BECN1,EMC6,MAP1LC3A,PACS2,RAB1A,RAB23,TP53INP2,WIPI2
GO:0000046	GO	BP	autophagosome fusion	CLN3,SNAP29,SNX14,STX17,TECPR1,VAMP8
GO:0000049	GO	MF	tRNA binding	AIMP1,ALKBH8,CARS,DARS2,EEF1A1,EIF2A,FARS2,IFIT5,IGHMBP2,KARS,PTCD1,SEPSECS,SLFN11,SSB,TERT,THG1L,TRMT10A,TRNT1,TYW5,XPOT,YARS2
GO:0000050	GO	BP	urea cycle	ARG1,ARG2,ASL,ASS1,CPS1,NAGS,OTC,SLC25A15,SLC25A2
GO:0000052	GO	BP	citrulline metabolic process	ALDH18A1,ASS1,CPS1,DDAH1,DDAH2,OTC,PADI2,PADI4
GO:0000060	GO	BP	protein import into nucleus, translocation	AKR1C3,AKT1,BCL3,BCL6,CEP57,GCKR,IFNG,KPNB1,MT3,NUTF2,OPRD1,OR1D2,PHB2,RAN,RBM22,SEC61B,SIX3,TGFB1,TNF,TNPO1
GO:0000062	GO	MF	fatty-acyl-CoA binding	ACOT7,ALDH6A1,DBI,SCP2,SOAT1,SOAT2
GO:0000070	GO	BP	mitotic sister chromatid segregation	BECN1,CCNB1,CDC23,CDCA5,CDCA8,CENPE,CHAMP1,CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP4A,CHMP4B,CHMP4C,CHMP5,CHMP6,CHMP7,CUL3,DIS3L2,DLGAP5,DSCC1,ESPL1,GSG2,INO80,KIF14,KIF18A,KIF22,KIF25,KIF2C,KIFC1,KLHL22,KNSTRN,MAU2,NAA50,NCAPD2,NCAPD3,NCAPG,NCAPH,NDC80,NIPBL,NUSAP1,PAPD7,PDS5B,PHF13,PINX1,PLK1,POGZ,PSRC1,RAB11A,RB1,RRS1,SEH1L,SMC1A,SMC2,SMC4,SPAG5,SPDL1,TEX14,VPS4A,VPS4B,ZNF207,ZW10,ZWINT
GO:0000075	GO	BP	cell cycle checkpoint	ANAPC1,ANAPC10,ANAPC11,ANAPC2,ANAPC4,ANAPC5,ANAPC7,APC,ATF2,ATM,ATR,ATRIP,BABAM1,BCL2L1,BLM,BRCA1,BRCC3,BRE,BRIP1,BRSK1,BUB1,BUB1B,BUB3,CASC5,CASP2,CCNA2,CCND1,CCNE2,CCNG2,CDC14B,CDC16,CDC20,CDC23,CDC26,CDC27,CDC45,CDC5L,CDC6,CDK2,CDK5RAP3,CDKN1A,CDKN1B,CDKN2B,CDT1,CENPF,CEP63,CHEK1,CHEK2,CHFR,CLOCK,CLSPN,CRADD,CSNK2A1,CSNK2A2,DCLRE1B,DLG1,DNA2,DTL,E2F1,FAM175A,FANCG,FBXO31,FBXO6,FOXN3,FZR1,GML,GTSE1,H2AFX,HINFP,HMGA2,HORMAD1,HRAS,HUS1,INTS3,INTS7,KLHL22,KNTC1,MAD1L1,MAD2L1,MAD2L1BP,MAD2L2,MAPKAPK2,MDC1,MDM2,MUC1,NABP1,NABP2,NAE1,NBN,NEK11,NEK6,PIDD1,PLK1,PLK2,PLK3,PLK5,PML,PRCC,PRKDC,PRPF19,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RAD1,RAD17,RAD9A,RB1,RBBP8,RFWD2,RFWD3,RHNO1,RPA2,RPA4,RPS27A,RPS27L,SETMAR,SMC1A,SOX4,TAOK1,TAOK2,TAOK3,TEX14,TGFB1,TICRR,TIPIN,TIPRL,TP53,TPR,TRIAP1,TTK,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UIMC1,USP17L2,USP28,WAC,WNT9A,ZNF207,ZW10,ZWILCH,ZWINT
GO:0000076	GO	BP	DNA replication checkpoint	CDC45,CDC6,CDT1,CLSPN,DNA2,NAE1,RAD17,RAD9A,TICRR,TIPIN
GO:0000077	GO	BP	DNA damage checkpoint	ATF2,ATM,ATR,ATRIP,BABAM1,BLM,BRCA1,BRCC3,BRE,BRIP1,BRSK1,CASP2,CCNA2,CCND1,CDC14B,CDC5L,CDK2,CDK5RAP3,CDKN1A,CDKN1B,CEP63,CHEK1,CHEK2,CLOCK,CLSPN,CRADD,DTL,E2F1,FAM175A,FBXO31,FBXO6,FOXN3,FZR1,GML,GTSE1,H2AFX,HINFP,HMGA2,HUS1,INTS7,MAPKAPK2,MDC1,MDM2,MUC1,NBN,NEK11,NEK6,PIDD1,PLK1,PLK5,PML,PRKDC,PRPF19,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RAD1,RAD17,RAD9A,RBBP8,RFWD2,RFWD3,RHNO1,RPA2,RPA4,RPS27A,RPS27L,SOX4,TAOK1,TAOK2,TAOK3,TIPIN,TIPRL,TP53,TRIAP1,UBA52,UBB,UBC,UIMC1,USP28,WAC
GO:0000079	GO	BP	regulation of cyclin-dependent protein serine/threonine kinase activity	ADAM17,AKT1,APC,BCCIP,BLM,CCND1,CCND2,CCND3,CCNE2,CCNG1,CCNY,CDC25A,CDC25C,CDC37,CDC6,CDK5R1,CDK5R2,CDK5RAP1,CDK5RAP3,CDK7,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CDKN3,CEBPA,CKS1B,CKS2,CUL3,DIRAS3,EGFR,FBXO31,FGF10,GADD45A,GTF2H1,GTPBP4,HERC5,HEXIM1,HEXIM2,HHEX,INCA1,LATS1,LATS2,MAPRE3,MEN1,MNAT1,MYOCD,NR2F2,PDGFB,PKD1,PKD2,PKMYT1,PLK1,PROX1,PSMD10,PSRC1,PTEN,RGCC,SERTAD1,TFAP4,UBE2C
GO:0000082	GO	BP	G1/S transition of mitotic cell cycle	ACVR1,ACVR1B,ADAM17,AKT1,BACH1,BCAT1,BRD4,CACUL1,CAMK2A,CCNA1,CCNB1,CCND1,CCNE1,CCNE2,CCNH,CDC25A,CDC34,CDC45,CDC6,CDC7,CDCA5,CDK1,CDK2,CDK3,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,CDKN2C,CDKN2D,CDKN3,CDT1,CKS1B,CRLF3,CUL1,CUL2,CUL3,CUL4A,CUL5,DBF4,DHFR,E2F1,E2F7,EGFR,EIF4E,EIF4EBP1,FBXO5,FGF10,GFI1,GSPT1,HINFP,ID2,INHBA,KLF11,LATS2,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MNAT1,NPAT,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PCNA,PHF8,PIM2,PKD1,PKD2,PKMYT1,PLK2,PLK3,POLA1,POLA2,POLE,POLE2,PPP2R3B,PPP6C,PRIM1,PRIM2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSMF1,PTEN,RB1,RCC1,RGCC,RPA1,RPA2,RPA3,RPA4,RPS27A,RPS6KB1,RRM2,SKP1,SKP2,SPDYA,TFDP1,TFDP3,TRIM71,TYMS,UBA52,UBB,UBC,USP37,WEE1,ZPR1
GO:0000083	GO	BP	regulation of transcription involved in G1/S transition of mitotic cell cycle	BACH1,BRD4,CCNA1,CCNE1,CDC45,CDC6,CDK1,CDT1,DHFR,E2F1,E2F7,FBXO5,GFI1,HINFP,ID2,KLF11,NPAT,ORC1,PCNA,POLA1,RB1,RRM2,TYMS,ZPR1
