GO:0000002	GO	BP	mitochondrial genome maintenance	Akt3,Chchd4,Dna2,Dnaja3,Gimap3,Lig3,Mef2a,Mgme1,Mpv17,Mrpl15,Mrpl17,Mrpl39,Opa1,Parp1,Peo1,Polg,Polg2,Primpol,Rnaseh1,Rrm2b,Sesn2,Slc25a33,Slc25a36,Tk2	The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome.
GO:0000012	GO	BP	single strand break repair	Aplf,Aptx,Lig4,Sirt1,Tdp1,Tnp1	The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair.
GO:0000014	GO	MF	single-stranded DNA endodeoxyribonuclease activity	Dclre1c,Ercc1,Mre11a,Rad50,Rbbp8	Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks.
GO:0000018	GO	BP	regulation of DNA recombination	Aplf,Bcl6,Blm,Cd28,Cd40,Chek1,Clcf1,Exosc3,Fbxo18,Fignl1,Foxp3,Ifng,Il2,Il27ra,Il4,Kdm1a,Lig3,Mlh1,Msh2,Msh3,Msh6,Ndfip1,Parpbp,Paxip1,Polq,Pot1b,Ppp4c,Ppp4r2,Prdm9,Ptprc,Rad18,Rad50,Rad51,Rad51ap1,Rpa2,Rtel1,Sirt6,Smarcad1,Spidr,Stat6,Tbx21,Terf2,Terf2ip,Tex15,Tgfb1,Thoc1,Tnfsf13,Tnfsf4,Ube2b,Ung,Whsc1,Zranb3,Zscan4c	Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents.
GO:0000019	GO	BP	regulation of mitotic recombination	Blm,Mlh1,Rad50,Terf2,Zscan4c	Any process that modulates the frequency, rate or extent of DNA recombination during mitosis.
GO:0000027	GO	BP	ribosomal large subunit assembly	Ddx28,Dhx30,Fastkd2,Rpl24,Rpl38	The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit.
GO:0000030	GO	MF	mannosyltransferase activity	Alg2,Alg3,Alg8,Dpm1,Dpm2,Dpm3,Pigb,Pigv,Pigz	Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid.
GO:0000038	GO	BP	very long-chain fatty acid metabolic process	Abcd1,Abcd2,Abcd3,Acaa1a,Acot2,Acot3,Acot4,Acot5,Acox1,Acsbg1,Elovl1,Elovl2,Elovl3,Elovl4,Elovl5,Elovl7,Hacd1,Hacd2,Hacd3,Hacd4,Hsd17b4,Pex2,Pex5,Slc27a2,Slc27a4,Slc27a5,Tecr	The chemical reactions and pathways involving a fatty acid which has a chain length greater than C22.
GO:0000041	GO	BP	transition metal ion transport	Ap3b1,Ap3d1,Atox1,Atp2c1,Atp7a,Atp7b,Cltc,Dnm2,Heph,Hfe,Hrh1,Lmtk2,Mfi2,Mmgt1,Mmgt2,Mt3,Picalm,Pvrl1,Rab11b,Rep15,Scara5,Sfxn1,Slc11a1,Slc11a2,Slc25a37,Slc30a1,Slc30a10,Slc30a3,Slc30a5,Slc30a6,Slc30a7,Slc30a8,Slc31a1,Slc39a1,Slc39a10,Slc39a11,Slc39a12,Slc39a13,Slc39a14,Slc39a2,Slc39a3,Slc39a4,Slc39a5,Slc39a6,Slc39a8,Slc40a1,Snx3,Steap2,Steap3,Steap4,Tfr2,Tfrc,Trpc7,Trpm2,Zp3	The directed movement of transition metal ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver.
GO:0000042	GO	BP	protein targeting to Golgi	Optn,Pacs1,Rab33b,Rab6a,Sorl1	The process of directing proteins towards the Golgi; usually uses signals contained within the protein.
GO:0000045	GO	BP	autophagosome assembly	Atg101,Atg12,Atg13,Atg14,Atg16l1,Atg3,Atg4b,Atg4c,Atg5,Atg7,Atg9a,Becn1,Ctsd,Emc6,Map1lc3a,Pacs2,Psen1,Rab23,Rb1cc1,Ulk1,Wipi2	The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm.
